OBJECTID,LABELTXT,SQ_MILES,GlobalID,created_user,created_date,last_edited_user,last_edited_date,MUNYCODE,MUNICIPALITY,SHAPEarea,SHAPElen
79,83,0.5639831,{20ADB27C-BCEE-4B55-AD2E-5B3E1F11F932},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,063,WARSON WOODS,15722884.940736,17595.7391087517
80,10,0.79829633,{9A9CCA16-9B93-4CDD-9DCB-23137BFCAF83},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,084,BRECKENRIDGE HILLS,22255137.6996503,23153.7969184263
81,54,0.5705867,{4168D11B-94F3-48EB-B05E-6C3B324F9BCD},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,081,MOLINE ACRES,15906982.8202336,20017.4872646954
82,55,1.84493864,{C9C2530B-37A2-4F8B-84B5-B6C5156AEFA9},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,039,NORMANDY,51433731.3446988,58304.9511747852
83,57,0.12322321,{F68A65FD-34F5-44AB-88CE-BE5B3315E290},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,077,NORWOOD COURT,3435252.31121166,11879.2711555078
84,52,0.2357018,{ED278E17-7148-44B8-B942-EC44C0F03C6D},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,037,MARLBOROUGH,6570964.00811751,19620.2850194211
85,84,5.90369884,{B119443E-BBEC-40D7-9022-B31E25D78307},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,064,WEBSTER GROVES,164585019.390938,60718.8531848225
86,5,0.62799875,{3F3CD022-ECAE-4ACA-A8D1-64350D9BD346},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,004,BEL-NOR,17505777.978125,18981.395056427
87,72,9.04584206,{AF116388-F3F6-45F0-8609-0F3C45142DB8},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,101,SUNSET HILLS,252182594.33852,74724.6804079543
88,22,3.57763326,{8BFE697A-9A2D-4191-8DE2-CFACFA40BC1D},SDEDBO,2014-09-11T16:34:02.000Z,SDEDBO,2014-09-11T16:34:02.000Z,069,CRESTWOOD,99738292.2680313,51522.425311005
